(76, 1039, 390, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(77, 962, 429, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(78, 1171, 388, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(79, 1085, 442, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(80, 1058, 483, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(81, 977, 429, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(82, 485, 91, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(83, 1000, 414, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(84, 1192, 646, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(85, 1337, 38, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(86, 996, 389, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(87, 380, 102, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(88, 304, 18, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(89, 407, 134, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(90, 403, 135, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(91, 206, 186, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(92, 388, 81, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(93, 409, 86, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(94, 1016, 420, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(95, 1314, 157, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(96, 389, 60, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(97, 403, 92, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(98, 1787, 103, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(99, 1528, 451, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(100, 1078, 396, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(101, 42, 153, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(102, 1318, 191, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(103, 390, 94, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(104, 396, 108, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(105, 1733, 66, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(106, 403, 91, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(107, 374, 77, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(108, 991, 452, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(109, 237, 143, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(110, 1087, 418, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(111, 1026, 389, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(112, 421, 81, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(113, 412, 197, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(114, 404, 132, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(115, 181, 169, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(116, 1041, 992, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(117, 1129, 423, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(118, 411, 90, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(119, 1114, 408, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(120, 375, 83, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(121, 384, 111, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(122, 432, 63, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(123, 407, 104, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(124, 1125, 401, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(125, 1185, 396, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(126, 395, 76, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(127, 200, 181, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(128, 979, 374, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(129, 914, 100, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(130, 1123, 380, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(131, 1153, 388, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(132, 400, 85, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(133, 1018, 429, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(134, 1317, 155, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(135, 379, 93, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(136, 1062, 400, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(137, 833, 78, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
