(126, 396, 59, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(127, 1126, 397, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(128, 415, 142, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(129, 1731, 109, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(130, 806, 117, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(131, 409, 143, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(132, 1316, 207, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(133, 1070, 521, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(134, 181, 264, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(135, 1094, 376, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(136, 433, 87, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(137, 405, 94, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(138, 479, 75, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(139, 449, 95, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(140, 1073, 411, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(141, 1061, 415, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(142, 459, 387, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(143, 383, 57, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(144, 1163, 418, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(145, 1130, 396, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(146, 1044, 462, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(147, 428, 101, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(148, 422, 111, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(149, 984, 429, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(150, 171, 217, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(151, 1057, 440, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(152, 91, 24, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(153, 974, 375, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(154, 1036, 395, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(155, 1548, 90, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(156, 945, 388, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(157, 1105, 399, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(158, 389, 92, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(159, 200, 167, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(160, 1022, 443, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(161, 952, 82, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(162, 404, 145, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(163, 396, 110, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(164, 404, 83, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(165, 395, 97, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(166, 389, 126, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(167, 405, 93, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(168, 1043, 396, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(169, 993, 401, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(170, 1755, 91, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(171, 924, 74, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(172, 203, 217, [1, 2, 0], [0, 16, 32], [16, 32, 32])
